scientific_name,common_name
Anacamptis pyramidalis,pyramidal orchid
Anacamptis coriophora fragrans,
Orchis simia,Monkey Orchid
Serapias parviflora,Lesser Tongue-orchid
Limodorum abortivum,Violet Bird's-nest
Polygala,Falsepeas
Spartium junceum,Spanish Broom
Taraxacum officinale,common dandelion
Punica granatum,pomegranate
Vicia monantha,Mediterranean Vetch
Vicia cracca,tufted vetch
Daucus carota,wild carrot
Erodium malacoides,Soft Stork's-bill
Commelina,dayflowers
Convolvulus althaeoides,Mallow Bindweed
Erigeron bonariensis,Flax-leaved Horseweed
Oxalis corniculata,Creeping Woodsorrel
Senecio angulatus,creeping groundsel
Parietaria judaica,pellitory-of-the-wall
Nerium oleander,oleander
Euphorbia helioscopia,Sun spurge
Hydrangea macrophylla,mophead hydrangea
Nerium oleander,oleander
Glebionis coronaria,Garland Daisy
Gasteria,Gasterias
Daucus carota,wild carrot
Anthriscus caucalis,Bur Parsley
Allium ampeloprasum,Wild Leek
Knautia integrifolia,Urville´s Widowflower
Echinops spinosissimus,
Opuntia ficus-indica,Indian fig opuntia
Papaver,poppies
Malvaviscus penduliflorus,Sleeping Hibiscus
Vinca major,greater periwinkle
Corallinales,coralline algae
Liagora ceranoides,
Verbascum thapsus,great mullein
Campsis,trumpet vines
Lantana camara,common lantana
Morus,Mulberries
Nerium oleander,oleander
Nerium oleander,oleander
Plantae,plants
Araucaria,araucarias
Asplenium trichomanes,maidenhair spleenwort
Nigella,Love-in-a-mist
Liagora ceranoides,
Hypericum triquetrifolium,Pyramidal St John's-wort
Tracheophyta,vascular plants
Capparis spinosa,Caper Bush
Tamarix,Tamarisks
Plantae,plants
Canna indica,Indian-shot
Musa,Bananas
Myrtus communis,myrtle
Ericales,"heathers, balsams, primroses, and allies"
Lantana camara,common lantana
Capparis,Capebushes
Capparis spinosa,Caper Bush
Albizia julibrissin,Persian silk tree
Magnoliopsida,dicots
Capparis spinosa,Caper Bush
Magnoliopsida,dicots
Nerium oleander,oleander
Polygonum aviculare,Prostrate Knotweed
Hypericum triquetrifolium,Pyramidal St John's-wort
Pelargonium × hybridum,garden geranium
Cymbalaria muralis,Ivy-leaved toadflax
Lysimachia arvensis,scarlet pimpernel
Malva sylvestris,Common Mallow
Arundo plinii,
Magnoliopsida,dicots
Magnoliopsida,dicots
Opuntia microdasys,Bunny Ears Cactus
Allium cepa,Common Onion
Plantae,plants
Helichrysum,Everlasting-flowers
Glaucium flavum,Yellow Horned Poppy
Limonium sinuatum,Blue statice
Parkinsonia aculeata,retama
Lantana,
Vitex agnus-castus,Lilac chaste tree
Pinus pinea,Stone pine
Erigeron bonariensis,Flax-leaved Horseweed
Poaceae,grasses
Poaceae,grasses
Nerium oleander,oleander
Ficus carica,common fig
Carpobrotus,sea figs
Plantae,plants
Liagoraceae,
Posidonia oceanica,Neptune Grass
Angiospermae,flowering plants
Plantae,plants
Plantae,plants
Fraxinus,ashes
Convolvuleae,
Convolvulus,bindweeds
Convolvulus arvensis,field bindweed
Capparis spinosa,Caper Bush
Quercus,oaks
Crataegus,hawthorns
Melissa officinalis,lemon balm
Daucus carota,wild carrot
Amaranthus retroflexus,Redroot Amaranth
Cichorium intybus,chicory
Ulmus,elms
Torilis arvensis,common hedge parsley
Avena fatua,wild oat
Mentha × piperita,Peppermint
Capparis,Capebushes
Leucaena leucocephala,White leadtree
Nerium oleander,oleander
Cichorium intybus,chicory
Celtis,hackberries
Scorzonera,Viper's-grasses
Sorghum halepense,Johnson grass
Nymphaea,water-lilies
Echinops sphaerocephalus,Glandular Globe-thistle
Catharanthus roseus,Madagascar Periwinkle
Tribulus terrestris,puncture vine
Amaranthus,amaranths
Portulaca oleracea,Common Purslane
Ferula,
Campanula,bellflowers
Rosa,roses
Faboideae,
Linaria,Toadflax
Lotononis,Lotononises
Acantholimon,
Pilosella,Hawkweeds
Magnoliopsida,dicots
Rubioideae,
Magnoliopsida,dicots
Magnoliopsida,dicots
Portulaca grandiflora,moss-rose purslane
Bougainvillea,bougainvilleas
Cynodon dactylon,Bermuda grass
Convolvulus galaticus,
Convolvuleae,
Agave americana,American century plant
Plumbago auriculata,blue plumbago
Parthenocissus,
Agapanthus,agapanthus
Portulaca,purslanes
Nerium oleander,oleander
Ornithogalum,star-of-Bethlehem
Hibiscus rosa-sinensis,Chinese hibiscus
Zinnia elegans,Elegant Zinnia
Hibiscus syriacus,common hibiscus
Fabaceae,legumes
Hibiscus rosa-sinensis,Chinese hibiscus
Campsis radicans,American trumpet vine
Arundo donax,giant reed
Lantana achyranthifolia,Brushland Shrubverbena
Magnoliopsida,dicots
Zinnia elegans,Elegant Zinnia
Quercus coccifera,Kermes oak
Morus nigra,black mulberry
Plantae,plants
Mimosa pudica,Sensitive Plant
Lantana,
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Phlomis fruticosa,Jerusalem Sage
Ornithogalum narbonense,Narbonne Star-of-Bethlehem
Cistus creticus,Hoary Rock-rose
Faboideae,
Quercus coccifera,Kermes oak
Onopordum boissierianum,
Spartium junceum,Spanish Broom
Leopoldia comosa,Tassel Hyacinth
Picnomon acarna,Yellow-spine Thistle
Campanula,bellflowers
Lamiaceae,mint family
Ononis natrix,yellow restharrow
Euphorbia,spurges
Campanula erinus,Small Bellflower
Asphodelus ramosus,Branched Asphodel
Enemion biternatum,false rue anemone
Allium neapolitanum,Naples garlic
Euphorbia dendroides,tree spurge
Allium sphaerocephalon,Round-headed Leek
Euphorbia,spurges
Tracheophyta,vascular plants
Gladiolus italicus,Field Gladiolus
Campanula,bellflowers
Hypericum,St. John's worts
Leopoldia comosa,Tassel Hyacinth
Anacamptis sancta,Holy Orchid
Allium neapolitanum,Naples garlic
Euphorbia dendroides,tree spurge
Ferula,
Tragopogon porrifolius,purple salsify
Asteraceae,"sunflowers, daisies, asters, and allies"
Teucrium chamaedrys,Wall germander
Erophaca,
Bituminaria bituminosa,arabian pea
Cistus creticus,Hoary Rock-rose
Anagyris foetida,Bean Trefoil
Quercus coccifera,Kermes oak
Scorzonerinae,
Pallenis spinosa,Spiny Starwort
Salvia,Sages
Cistaceae,rock-rose family
Tracheophyta,vascular plants
Avena,Oats
Helichrysum stoechas,Shrubby Everlasting
Lagurus ovatus,Hare's Tail Grass
Phalaris caroliniana,Carolina canarygrass
Bromus madritensis,Compact Brome
Centaurium erythraea,Common centaury
Genisteae,"brooms, lupines, and allies"
Cistus salviifolius,Sage-leaved Rock-rose
Erica,Heaths
Onopordum boissierianum,
Notobasis syriaca,Syrian Thistle
Notobasis syriaca,Syrian Thistle
Carduus,plumeless thistles
Glebionis segetum,Corn Marigold
Tordylium apulum,Mediterranean Hartwort
Spartium junceum,Spanish Broom
Sarcopoterium spinosum,Spiny Burnet
Tracheophyta,vascular plants
Lolium,Ryegrasses
Euphorbia,spurges
Verbascum,mulleins
Olea europaea,Olive
Aloe greatheadii,spotted aloe
Quercus coccifera,Kermes oak
Pistacia terebinthus,terebinth
Lavandula stoechas,topped lavender
Juniperus turbinata,Mediterranean juniper
Pancratium maritimum,Sea Daffodil
Pistacia lentiscus,mastic
Blackstonia perfoliata,Yellow-wort
Liagora ceranoides,
Erodium malacoides,Soft Stork's-bill
Plantae,plants
Agave americana,American century plant
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Crocus,Crocuses
Arbutus andrachne,Greek strawberry-tree
Oxalis pes-caprae,Bermuda buttercup
Euphorbia hypericifolia,graceful spurge
Heliotropium europaeum,European heliotrope
Urospermum picroides,False Hawkbit
Malva sylvestris,Common Mallow
Malva multiflora,Cretan Tree-mallow
Calendula officinalis,pot marigold
Glebionis coronaria,Garland Daisy
Malva sylvestris,Common Mallow
Carthamus lanatus,woolly distaff thistle
Malva parviflora,cheeseweed mallow
Vicia cracca,tufted vetch
Vicia sativa,Common Vetch
Vicia narbonensis,Narbonne Vetch
Pisum sativum,Common Pea
Echinops spinosissimus,
Heliotropium europaeum,European heliotrope
Calendula arvensis,field marigold
